feature,importance,type
dm,0.17613114397090124,tfidf
work,0.10795389142457593,tfidf
questions,0.09180646464076701,tfidf
off_platform,0.05118748682905461,rule
home,0.037953859940418784,tfidf
com,0.03664936815562825,tfidf
alert,0.03579026637730856,tfidf
looking,0.03181283952525536,tfidf
job alert,0.02913908596107373,tfidf
social,0.028245502206000434,tfidf
jobs,0.02743753106745772,tfidf
work home,0.025968297336132744,tfidf
remote,0.025911019163655603,tfidf
vague_description,0.025328618997533168,rule
dm questions,0.0249690217362928,tfidf
www,0.024114169928791666,tfidf
opportunity,0.015877413695157893,tfidf
free dm,0.014990702488313162,tfidf
interested,0.014543606230976943,tfidf
apply,0.01430817943505375,tfidf
free,0.013525296499272544,tfidf
media,0.011775416132873856,tfidf
urgency,0.011623343824607463,rule
want,0.011334500088522518,tfidf
team,0.010491417459476607,tfidf
details,0.008821706490135648,tfidf
like,0.008066261301825653,tfidf
looking job,0.007922489085680964,tfidf
new,0.007039221562664195,tfidf
feel free,0.006580841279858941,tfidf
experience,0.006134947777295132,tfidf
company,0.006023904430972965,tfidf
know,0.005538624974195515,tfidf
position,0.0050899221497272985,tfidf
feel,0.004939719817002634,tfidf
edu,0.004583282181040823,tfidf
research,0.004482609313777038,tfidf
join,0.004389987812351543,tfidf
department,0.004351585403074257,tfidf
come,0.0035126547320894425,tfidf
info,0.0033711024706538782,tfidf
help,0.0025827776932726685,tfidf
senior,0.0023055233289696418,tfidf
time,0.0016205582871055163,tfidf
uk,0.0012526777930743928,tfidf
job description,0.001141717639280825,tfidf
tech,0.0007572525181622543,tfidf
email,0.0006221888426865509,tfidf
payment_request,0.0,rule
pii_request,0.0,rule
data,0.0,tfidf
assistant,0.0,tfidf
unrealistic_salary,0.0,rule
excessive_emoji,0.0,rule
ll,0.0,tfidf
description,0.0,tfidf
suspicious_domain,0.0,rule
org,0.0,tfidf
url_shortener,0.0,rule
